WormBaseGeneID	RILtrait	RILe_chr	RILe_peak	RIL_var_exp	gene_Chr	gene_start	gene_end	RILe_start	RILe_end	RILeQTL_classification	RILHyperDivergent	RILhotspot_Chr	RILhotspot_cM	RILHotspot	RILHotspot_QTL_count	Hotspots_Detected_in_WIeQTL	Merged_RILHotspots_cM	merged_RILHotspots_QTL_count	Detected_in_WIeQTL	Chr_pos	eChr_pos
WBGene00017082	A_12_P105768	V	533022	0.118992537916524	V	210145	212787	8249	690972	Local eQTL	Yes	NA	NA	NA	NA	NA	NA	NA	Yes	V	V
WBGene00010202	A_12_P105770	V	16436223	0.580940087816242	V	16481580	16482050	16434531	16469911	Local eQTL	No	NA	NA	NA	NA	NA	NA	NA	NA	V	V
WBGene00000269	A_12_P105774	IV	4761504	0.140460312296338	I	1621314	1628486	4566633	5847069	Distant eQTL	No	IV	28.5	Yes	35	Yes	27.5, 28, 28.5, 29	66	NA	I	IV
WBGene00014915	A_12_P105792	I	11868440	0.0805469158900799	I	11966271	11967591	11666065	12052126	Local eQTL	No	NA	NA	NA	NA	NA	NA	NA	Yes	I	I
WBGene00013162	A_12_P105800	II	14608351	0.696712627693966	II	15052083	15054573	14606333	15274701	Local eQTL	No	NA	NA	NA	NA	NA	NA	NA	Yes	II	II
WBGene00013162	A_12_P105800	II	1223891	0.000782030170863718	II	15052083	15054573	1041078	1501777	Distant eQTL	No	II	2.5	Yes	7	Yes	2.5	7	NA	II	II
WBGene00013162	A_12_P105800	II	12335050	0.0307238410484595	II	15052083	15054573	12254319	12370973	Distant eQTL	No	II	27.5	No	2	NA	NA	NA	NA	II	II
WBGene00011736	A_12_P105808	X	5291269	0.143228826753639	III	13617104	13621441	4630882	5949176	Distant eQTL	No	X	15.5	Yes	34	Yes	13, 13.5, 14, 14.5, 15, 15.5, 16, 16.5, 17	285	NA	III	X
WBGene00011736	A_12_P105808	V	12931140	0.00374135033207831	III	13617104	13621441	12486434	13158595	Distant eQTL	No	V	25	Yes	14		25	14	NA	III	V
WBGene00013355	A_12_P105858	V	17938642	0.364302088110804	V	17953733	17966847	17864186	17967873	Local eQTL	No	NA	NA	NA	NA	NA	NA	NA	Yes	V	V
WBGene00021660	A_12_P105861	I	398834	0.166889772160623	I	323849	330989	398834	628622	Local eQTL	No	NA	NA	NA	NA	NA	NA	NA	NA	I	I
WBGene00021660	A_12_P105861	V	2285994	0.000145501211096491	I	323849	330989	2273347	2486879	Distant eQTL	Yes	NA	NA	NA	NA	NA	NA	NA	NA	I	V
WBGene00022494	A_12_P105880	III	1198787	0.492574896898223	III	1253384	1254401	1198473	1275807	Local eQTL	No	NA	NA	NA	NA	NA	NA	NA	Yes	III	III
WBGene00004155	A_12_P105885	II	8007499	0.113147351864621	II	8540720	8545388	6654199	9430890	Local eQTL	No	NA	NA	NA	NA	NA	NA	NA	NA	II	II
WBGene00004286	A_12_P105893	X	3843271	0.130337650920939	II	9321855	9322920	3789476	4566632	Distant eQTL	No	X	12	Yes	73		12	73	NA	II	X
WBGene00012536	A_12_P105900	IV	13871463	0.374790959200356	IV	13897815	13902874	13754511	14165470	Local eQTL	No	NA	NA	NA	NA	NA	NA	NA	NA	IV	IV
WBGene00008555	A_12_P105926	IV	12801753	0.391311578160469	IV	12805925	12830114	12697226	13006565	Local eQTL	No	NA	NA	NA	NA	NA	NA	NA	Yes	IV	IV
WBGene00016520	A_12_P105938	III	2254736	0.14992015752096	III	2234874	2236987	2156137	2355745	Local eQTL	No	NA	NA	NA	NA	NA	NA	NA	Yes	III	III
WBGene00007345	A_12_P105951	X	4958735	0.35092557238589	X	12945534	12946633	4753798	5526747	Distant eQTL	No	X	15	Yes	45	Yes	13, 13.5, 14, 14.5, 15, 15.5, 16, 16.5, 17	285	NA	X	X
WBGene00021894	A_12_P105954	X	5291269	0.134910781049036	IV	2803952	2804916	4630882	5676445	Distant eQTL	No	X	15.5	Yes	34	Yes	13, 13.5, 14, 14.5, 15, 15.5, 16, 16.5, 17	285	NA	IV	X
WBGene00010705	A_12_P105959	IV	8778092	0.106710918898641	X	13265004	13267356	7381956	9672074	Distant eQTL	No	IV	31.5	Yes	11	Yes	30.5, 31, 31.5, 32	48	NA	X	IV
WBGene00000785	A_12_P105975	V	1038256	0.240909087011932	V	1132598	1134036	1005065	1436415	Local eQTL	No	NA	NA	NA	NA	NA	NA	NA	NA	V	V
WBGene00018260	A_12_P105976	V	2271007	0.196662349157373	V	2250540	2252591	2270981	2272126	Local eQTL	No	NA	NA	NA	NA	NA	NA	NA	NA	V	V
WBGene00004420	A_12_P105982	III	3627021	0.15973777824974	III	7572104	7573033	3568455	5224162	Distant eQTL	No	III	22.5	No	2	NA	NA	NA	Yes	III	III
WBGene00018333	A_12_P106012	V	2819815	0.188812727259388	IV	8614995	8616023	2282576	3177786	Distant eQTL	Yes	NA	NA	NA	NA	NA	NA	NA	NA	IV	V
WBGene00010587	A_12_P106019	I	14734963	0.452352000187749	I	14721742	14724745	14682966	14776886	Local eQTL	No	NA	NA	NA	NA	NA	NA	NA	NA	I	I
WBGene00008334	A_12_P106041	III	4161821	0.105525328178018	V	11515082	11517767	3481204	5593439	Distant eQTL	No	III	24	No	5	NA	NA	NA	NA	V	III
WBGene00004831	A_12_P106059	X	12236381	0.106261727404473	X	11394605	11405931	10545442	12932361	Local eQTL	No	NA	NA	NA	NA	NA	NA	NA	NA	X	X
WBGene00004831	A_12_P106059	IV	16053550	0.0210132441841179	X	11394605	11405931	15954820	16379127	Distant eQTL	No	IV	42	Yes	41	Yes	41.5, 42	61	NA	X	IV
WBGene00004831	A_12_P106059	IV	6475869	6.14876379049026e-06	X	11394605	11405931	5531856	6766024	Distant eQTL	No	IV	30.5	Yes	10	Yes	30.5, 31, 31.5, 32	48	NA	X	IV
WBGene00019527	A_12_P106061	IV	4755912	0.315329924782575	V	3231385	3234987	4656772	4818285	Distant eQTL	No	IV	28.5	Yes	35	Yes	27.5, 28, 28.5, 29	66	NA	V	IV
WBGene00011414	A_12_P106075	III	4461397	0.765773934234568	III	4706978	4708438	4388630	4911067	Local eQTL	No	NA	NA	NA	NA	NA	NA	NA	NA	III	III
WBGene00000403	A_12_P106084	X	5526747	0.109651638535463	II	5944851	5956689	4630882	5922452	Distant eQTL	No	X	16	Yes	35	Yes	13, 13.5, 14, 14.5, 15, 15.5, 16, 16.5, 17	285	NA	II	X
WBGene00003648	A_12_P106085	V	533022	0.597557738238049	V	532259	534070	527699	537511	Local eQTL	Yes	NA	NA	NA	NA	NA	NA	NA	NA	V	V
WBGene00008335	A_12_P106087	IV	6109938	0.111544647052721	V	11513655	11514743	4757132	6766024	Distant eQTL	No	IV	30.5	Yes	10	Yes	30.5, 31, 31.5, 32	48	NA	V	IV
WBGene00019094	A_12_P106098	V	1977814	0.168777717829287	V	2012094	2013398	1972858	2271884	Local eQTL	No	NA	NA	NA	NA	NA	NA	NA	Yes	V	V
WBGene00010290	A_12_P106100	X	5341098	0.277894120114458	V	11963007	11964999	4639456	5638607	Distant eQTL	No	X	15.5	Yes	34	Yes	13, 13.5, 14, 14.5, 15, 15.5, 16, 16.5, 17	285	NA	V	X
WBGene00020471	A_12_P106109	II	1041031	0.0980645789543992	II	1097923	1100825	6368	1618934	Local eQTL	No	NA	NA	NA	NA	NA	NA	NA	Yes	II	II
WBGene00010827	A_12_P106112	IV	13098759	0.247803672609066	IV	12845696	12848429	12868784	13206263	Local eQTL	No	NA	NA	NA	NA	NA	NA	NA	NA	IV	IV
WBGene00006588	A_12_P106113	X	6468293	0.176912433611878	X	7937633	7945099	6366333	8208528	Distant eQTL	No	X	18.5	Yes	9	Yes	18.5	9	NA	X	X
WBGene00021720	A_12_P106129	II	3331906	0.154168381923979	II	3479473	3481685	3223762	3542182	Local eQTL	Yes	NA	NA	NA	NA	NA	NA	NA	NA	II	II
WBGene00020522	A_12_P106150	V	5722437	0.192595279960989	V	6810421	6814961	5699019	7093878	Distant eQTL	No	V	19	No	3	NA	NA	NA	NA	V	V
WBGene00014200	A_12_P106152	V	4169873	0.120199094226616	I	13235348	13236663	4121406	4516065	Distant eQTL	No	V	14	No	1	NA	NA	NA	NA	I	V
WBGene00016790	A_12_P106154	IV	12262083	0.128553046873842	IV	7924350	7924968	11570976	12672698	Distant eQTL	No	IV	33.5	Yes	7	Yes	33.5	7	NA	IV	IV
WBGene00016790	A_12_P106154	IV	15573322	0.00931060719205233	IV	7924350	7924968	15467845	15983752	Distant eQTL	No	IV	41.5	Yes	20	Yes	41.5, 42	61	NA	IV	IV
WBGene00021336	A_12_P106158	III	977059	0.179433543894747	III	1020954	1021882	941809	1189916	Local eQTL	Yes	NA	NA	NA	NA	NA	NA	NA	Yes	III	III
WBGene00021336	A_12_P106158	V	17733401	0.00199802262190962	III	1020954	1021882	17538727	17814400	Distant eQTL	No	V	33.5	No	5	NA	NA	NA	NA	III	V
WBGene00017744	A_12_P106164	IV	5002403	0.106559518864711	II	31719	33611	4281922	6109938	Distant eQTL	No	IV	29	Yes	15	Yes	27.5, 28, 28.5, 29	66	NA	II	IV
WBGene00019886	A_12_P106182	IV	4761504	0.246378558823331	V	2766234	2767503	4566633	5023053	Distant eQTL	No	IV	28.5	Yes	35	Yes	27.5, 28, 28.5, 29	66	NA	V	IV
WBGene00019866	A_12_P106195	IV	1048458	0.267670663487588	X	2466948	2471308	1033604	1113082	Distant eQTL	No	IV	5	No	1	NA	NA	NA	NA	X	IV
WBGene00012583	A_12_P106209	II	12691188	0.108353266288189	II	12578331	12581113	12544141	12731999	Local eQTL	No	NA	NA	NA	NA	NA	NA	NA	NA	II	II
WBGene00008554	A_12_P106222	X	3843271	0.118870737753227	IV	12789233	12790512	3716925	5810100	Distant eQTL	No	X	12	Yes	73		12	73	NA	IV	X
WBGene00019593	A_12_P106226	II	2332147	0.566910382564497	II	2287030	2290226	2316511	2334376	Local eQTL	No	NA	NA	NA	NA	NA	NA	NA	NA	II	II
WBGene00016180	A_12_P106227	X	4175841	0.116280183661942	IV	8487483	8488490	3907685	4501238	Distant eQTL	No	X	13	Yes	16	Yes	13, 13.5, 14, 14.5, 15, 15.5, 16, 16.5, 17	285	NA	IV	X
WBGene00009937	A_12_P106234	I	9631422	0.122146710048811	I	9897687	9902950	9523381	10093210	Local eQTL	No	NA	NA	NA	NA	NA	NA	NA	Yes	I	I
WBGene00003905	A_12_P106236	I	12884357	0.1190842629941	I	12878595	12902809	12804294	13023158	Local eQTL	No	NA	NA	NA	NA	NA	NA	NA	Yes	I	I
WBGene00019096	A_12_P106247	V	1977814	0.13129311736278	V	2004959	2006805	1813788	2486777	Local eQTL	No	NA	NA	NA	NA	NA	NA	NA	NA	V	V
WBGene00011520	A_12_P106262	V	15834792	0.209962723516531	V	15894441	15896771	15782684	16165290	Local eQTL	No	NA	NA	NA	NA	NA	NA	NA	NA	V	V
WBGene00001459	A_12_P106272	X	5361887	0.270997971544031	II	13235304	13237417	4753798	5676445	Distant eQTL	No	X	16	Yes	35	Yes	13, 13.5, 14, 14.5, 15, 15.5, 16, 16.5, 17	285	NA	II	X
WBGene00022562	A_12_P106299	II	1418895	0.488988099965216	II	1653798	1657304	1417887	1619961	Local eQTL	No	NA	NA	NA	NA	NA	NA	NA	Yes	II	II
WBGene00012449	A_12_P106305	V	18326576	0.106265856332941	V	18790958	18794779	18137835	18648657	Local eQTL	No	NA	NA	NA	NA	NA	NA	NA	Yes	V	V
WBGene00006597	A_12_P106320	IV	13871463	0.288762992554514	IV	13984251	13985805	13408872	14165470	Local eQTL	No	NA	NA	NA	NA	NA	NA	NA	NA	IV	IV
WBGene00006597	A_12_P106320	X	5526747	0.0368303356333617	IV	13984251	13985805	4175841	6076783	Distant eQTL	No	X	16	Yes	35	Yes	13, 13.5, 14, 14.5, 15, 15.5, 16, 16.5, 17	285	NA	IV	X
WBGene00010958	A_12_P106328	III	10884949	0.203916984410072	M	549	783	10500696	11052616	Distant eQTL	No	III	33	No	1	NA	NA	NA	NA	M	III
WBGene00010958	A_12_P106328	V	19727537	4.8860654875958e-05	M	549	783	19703185	19785151	Distant eQTL	No	V	43.5	No	1	NA	NA	NA	NA	M	V
WBGene00022380	A_12_P106355	IV	2691064	0.558055733078171	IV	2716642	2719836	2675332	2759710	Local eQTL	Yes	NA	NA	NA	NA	NA	NA	NA	Yes	IV	IV
WBGene00020043	A_12_P106361	X	4958735	0.479520432922443	IV	7191056	7191841	4674201	5361887	Distant eQTL	No	X	15	Yes	45	Yes	13, 13.5, 14, 14.5, 15, 15.5, 16, 16.5, 17	285	NA	IV	X
WBGene00006981	A_12_P106373	X	4758185	0.315956205240485	X	7925434	7926595	4674201	5361887	Distant eQTL	No	X	14.5	Yes	63	Yes	13, 13.5, 14, 14.5, 15, 15.5, 16, 16.5, 17	285	NA	X	X
WBGene00016349	A_12_P106377	X	16515500	0.414982197685683	X	17293119	17294828	16478903	17709225	Local eQTL	No	NA	NA	NA	NA	NA	NA	NA	Yes	X	X
WBGene00003572	A_12_P106382	IV	15619530	0.126271273671159	III	9715881	9720298	15393010	15983752	Distant eQTL	No	IV	42	Yes	41	Yes	41.5, 42	61	NA	III	IV
WBGene00022641	A_12_P106389	X	15410652	0.10562219928884	V	388697	391598	15130022	15930189	Distant eQTL	No	X	44	No	2	NA	NA	NA	NA	V	X
WBGene00022286	A_12_P106394	V	1372698	0.343175866723651	V	1372858	1383256	1029076	1582251	Local eQTL	No	NA	NA	NA	NA	NA	NA	NA	Yes	V	V
WBGene00010809	A_12_P106398	I	1451409	0.0406893635588983	III	3502842	3505244	1036866	1623032	Distant eQTL	No	I	7.5	No	2	NA	NA	NA	NA	III	I
WBGene00010354	A_12_P106410	IV	13374799	0.219400345159139	IV	11403961	11406087	13117565	13418977	Distant eQTL	No	IV	36.5	No	2	NA	NA	NA	NA	IV	IV
WBGene00044061	A_12_P106418	X	3843271	0.108018213987674	X	2525191	2532457	3789476	5638607	Distant eQTL	No	X	12	Yes	73		12	73	NA	X	X
WBGene00017235	A_12_P106424	IV	7328515	0.205289413209929	IV	8666252	8667177	6601583	7396833	Distant eQTL	No	IV	31	Yes	18	Yes	30.5, 31, 31.5, 32	48	NA	IV	IV
WBGene00015481	A_12_P106432	X	3843271	0.106920695770823	III	6436608	6439964	3716925	4656473	Distant eQTL	No	X	12	Yes	73		12	73	NA	III	X
WBGene00018725	A_12_P106436	IV	4755912	0.167483469077493	X	8709764	8710015	4566633	5163110	Distant eQTL	No	IV	28.5	Yes	35	Yes	27.5, 28, 28.5, 29	66	NA	X	IV
WBGene00021419	A_12_P106445	IV	2530706	0.182395386220887	IV	2390821	2396265	2231355	2650991	Local eQTL	No	NA	NA	NA	NA	NA	NA	NA	NA	IV	IV
WBGene00021419	A_12_P106445	II	14204646	0.0129020069100378	IV	2390821	2396265	14136063	14391450	Distant eQTL	No	II	41	Yes	10		41	10	NA	IV	II
WBGene00002232	A_12_P106446	I	12098639	0.0909340157724189	I	11675939	11680977	11959037	12343109	Local eQTL	No	NA	NA	NA	NA	NA	NA	NA	Yes	I	I
WBGene00015148	A_12_P106464	X	4958735	0.131714081221142	III	5706717	5709331	3907685	5676445	Distant eQTL	No	X	15	Yes	45	Yes	13, 13.5, 14, 14.5, 15, 15.5, 16, 16.5, 17	285	NA	III	X
WBGene00011583	A_12_P106465	I	12607684	0.452813254280754	I	12626674	12629029	12597637	12649342	Local eQTL	No	NA	NA	NA	NA	NA	NA	NA	Yes	I	I
WBGene00001334	A_12_P106488	I	14696837	0.207639023262068	I	14664449	14674841	14639202	14763117	Local eQTL	No	NA	NA	NA	NA	NA	NA	NA	Yes	I	I
WBGene00021952	A_12_P106489	IV	3373167	0.237853261585323	IV	3369195	3373485	3354799	3469456	Local eQTL	No	NA	NA	NA	NA	NA	NA	NA	NA	IV	IV
WBGene00009526	A_12_P106512	IV	1240607	0.260020974344201	IV	1261161	1264625	1231327	1331702	Local eQTL	No	NA	NA	NA	NA	NA	NA	NA	Yes	IV	IV
WBGene00000565	A_12_P106516	II	12066947	0.45132333931184	II	12072067	12088868	12043778	12076112	Local eQTL	No	NA	NA	NA	NA	NA	NA	NA	NA	II	II
WBGene00000565	A_12_P106516	X	5576572	0.0106380482108325	II	12072067	12088868	5242819	5676445	Distant eQTL	No	X	16.5	Yes	44	Yes	13, 13.5, 14, 14.5, 15, 15.5, 16, 16.5, 17	285	NA	II	X
WBGene00010659	A_12_P106521	IV	12963367	0.549783436023898	IV	12910515	12912145	12868784	13006565	Local eQTL	No	NA	NA	NA	NA	NA	NA	NA	Yes	IV	IV
WBGene00004108	A_12_P106540	X	12859131	0.479314341176093	X	12907825	12920260	12840430	13066152	Local eQTL	No	NA	NA	NA	NA	NA	NA	NA	NA	X	X
WBGene00000940	A_12_P106544	V	20113987	0.135159654062878	V	20087848	20090743	20005738	20445160	Local eQTL	No	NA	NA	NA	NA	NA	NA	NA	NA	V	V
WBGene00017333	A_12_P106559	V	7093878	0.587407553970357	V	7145656	7147470	7086818	7335689	Local eQTL	No	NA	NA	NA	NA	NA	NA	NA	NA	V	V
WBGene00017333	A_12_P106559	X	2241158	0.00133574021505701	V	7145656	7147470	1916511	2536346	Distant eQTL	No	X	5.5	No	1	NA	NA	NA	NA	V	X
WBGene00021503	A_12_P106588	III	6681836	0.778132143422978	III	6612516	6615149	6330537	6815334	Local eQTL	No	NA	NA	NA	NA	NA	NA	NA	NA	III	III
WBGene00021503	A_12_P106588	I	13853980	0.008020515403563	III	6612516	6615149	13788926	13979708	Distant eQTL	No	I	44	No	2	NA	NA	NA	NA	III	I
WBGene00013556	A_12_P106605	III	12251835	0.18323290347708	III	12250476	12251009	12168916	12292760	Local eQTL	No	NA	NA	NA	NA	NA	NA	NA	NA	III	III
WBGene00013221	A_12_P106628	II	14282734	0.249346558085683	II	14316980	14321018	14218855	15274701	Local eQTL	No	NA	NA	NA	NA	NA	NA	NA	NA	II	II
WBGene00019633	A_12_P106665	IV	4550944	0.107355147800477	III	5195990	5196717	4356886	5208413	Distant eQTL	No	IV	28	Yes	10	Yes	27.5, 28, 28.5, 29	66	NA	III	IV
WBGene00020016	A_12_P106675	V	527643	0.251307867531923	V	521595	524218	8249	690972	Local eQTL	Yes	NA	NA	NA	NA	NA	NA	NA	Yes	V	V
WBGene00020016	A_12_P106675	X	6953360	0.0483655310361068	V	521595	524218	6553273	7802067	Distant eQTL	No	X	19.5	Yes	13		19.5	13	NA	V	X
WBGene00016939	A_12_P106689	IV	15573322	0.168516264297405	X	7200362	7204068	15398099	15954820	Distant eQTL	No	IV	41.5	Yes	20	Yes	41.5, 42	61	NA	X	IV
WBGene00015436	A_12_P106698	V	3491728	0.397974763555444	V	3354667	3355513	3427120	3655574	Local eQTL	No	NA	NA	NA	NA	NA	NA	NA	NA	V	V
WBGene00013464	A_12_P106699	IV	13356132	0.126898072347769	IV	13303743	13310822	13068189	13871463	Local eQTL	No	NA	NA	NA	NA	NA	NA	NA	NA	IV	IV
WBGene00015134	A_12_P106702	II	3542182	0.101132568887575	II	4523616	4524593	3412935	4134290	Local eQTL	No	NA	NA	NA	NA	NA	NA	NA	NA	II	II
WBGene00010790	A_12_P106704	V	11833225	0.155253632895815	V	11888236	11889650	11600826	12931140	Local eQTL	No	NA	NA	NA	NA	NA	NA	NA	NA	V	V
WBGene00012785	A_12_P106711	IV	10327996	0.680472546892884	IV	10351429	10352343	10282788	10434018	Local eQTL	No	NA	NA	NA	NA	NA	NA	NA	NA	IV	IV
WBGene00009531	A_12_P106715	X	4322768	0.133066863570739	X	11286443	11287717	3934740	5341098	Distant eQTL	No	X	13.5	Yes	14	Yes	13, 13.5, 14, 14.5, 15, 15.5, 16, 16.5, 17	285	NA	X	X
WBGene00010294	A_12_P106744	V	17568121	0.753652750137687	V	17655581	17656654	17559376	17717410	Local eQTL	No	NA	NA	NA	NA	NA	NA	NA	Yes	V	V
WBGene00022373	A_12_P106752	I	1451409	0.058606903656162	I	1436279	1441334	1419429	1516275	Local eQTL	No	NA	NA	NA	NA	NA	NA	NA	Yes	I	I
WBGene00019959	A_12_P106753	X	4893004	0.254051088148804	X	4818593	4821715	4753798	5341098	Local eQTL	No	NA	NA	NA	NA	NA	NA	NA	NA	X	X
WBGene00019959	A_12_P106753	V	9905233	0.00133342721345899	X	4818593	4821715	8602178	13622608	Distant eQTL	No	V	22.5	Yes	13	Yes	22.5, 23, 23.5	40	NA	X	V
WBGene00019959	A_12_P106753	III	1361852	0.00494859470542367	X	4818593	4821715	1187293	1460260	Distant eQTL	Yes	NA	NA	NA	NA	NA	NA	NA	NA	X	III
WBGene00006615	A_12_P106779	III	996547	0.606842605444239	III	983261	1001931	982777	1063790	Local eQTL	No	NA	NA	NA	NA	NA	NA	NA	NA	III	III
WBGene00008693	A_12_P106814	X	10449274	0.199719029431531	X	12978505	12979929	8931681	10711645	Distant eQTL	No	X	23.5	No	2	NA	NA	NA	NA	X	X
WBGene00008693	A_12_P106814	X	5291269	0.0109358937435244	X	12978505	12979929	4753798	5638607	Distant eQTL	No	X	15.5	Yes	34	Yes	13, 13.5, 14, 14.5, 15, 15.5, 16, 16.5, 17	285	NA	X	X
WBGene00008693	A_12_P106814	II	2910995	0.00109774578745013	X	12978505	12979929	2901910	3026490	Distant eQTL	Yes	NA	NA	NA	NA	NA	NA	NA	NA	X	II
WBGene00012250	A_12_P106816	V	19733784	0.706234406540104	V	19746152	19748543	19726319	19749352	Local eQTL	No	NA	NA	NA	NA	NA	NA	NA	Yes	V	V
WBGene00022153	A_12_P106821	I	1706821	0.0357243109584622	I	1702105	1708008	1699196	1745486	Local eQTL	No	NA	NA	NA	NA	NA	NA	NA	Yes	I	I
WBGene00006779	A_12_P106826	IV	12079110	0.113270631225347	IV	10324254	10350282	9987122	12644720	Distant eQTL	No	IV	33	No	3	NA	NA	NA	NA	IV	IV
WBGene00021491	A_12_P106829	V	1038256	0.19702229536112	V	2049217	2050185	708390	1113279	Distant eQTL	No	V	0.5	Yes	6		0.5	6	NA	V	V
WBGene00000987	A_12_P106853	V	20017989	0.49469433307404	V	19934768	19946629	20005738	20038134	Local eQTL	No	NA	NA	NA	NA	NA	NA	NA	NA	V	V
WBGene00000987	A_12_P106853	V	11513193	0.000341923158623791	V	19934768	19946629	11050301	11600826	Distant eQTL	No	V	23.5	Yes	20	Yes	22.5, 23, 23.5	40	NA	V	V
WBGene00010512	A_12_P106864	X	5576572	0.119274790088191	V	14246236	14246909	5383095	8217033	Distant eQTL	No	X	16.5	Yes	44	Yes	13, 13.5, 14, 14.5, 15, 15.5, 16, 16.5, 17	285	NA	V	X
WBGene00010512	A_12_P106864	V	2064625	0.00314906431441848	V	14246236	14246909	1973596	2272126	Distant eQTL	No	V	4.5	No	1	NA	NA	NA	NA	V	V
WBGene00003232	A_12_P106867	X	10112699	0.350517617986496	X	9968517	9976306	9591109	10449274	Local eQTL	No	NA	NA	NA	NA	NA	NA	NA	NA	X	X
WBGene00003232	A_12_P106867	IV	15712992	0.032965860775686	X	9968517	9976306	15625988	15966979	Distant eQTL	No	IV	42	Yes	41	Yes	41.5, 42	61	NA	X	IV
WBGene00021562	A_12_P106882	V	2819206	0.305361978076496	V	2698970	2707038	2657849	3181885	Local eQTL	Yes	NA	NA	NA	NA	NA	NA	NA	NA	V	V
WBGene00000792	A_12_P106899	X	16515500	0.133020644573934	X	17402538	17414014	15995509	17709225	Local eQTL	No	NA	NA	NA	NA	NA	NA	NA	NA	X	X
WBGene00021813	A_12_P106904	III	3281674	0.665529152685294	III	3294743	3297246	3275094	3303713	Local eQTL	No	NA	NA	NA	NA	NA	NA	NA	Yes	III	III
WBGene00009635	A_12_P106942	X	12565734	0.163691871919717	X	12350578	12351788	12184364	12932361	Local eQTL	No	NA	NA	NA	NA	NA	NA	NA	NA	X	X
WBGene00013755	A_12_P106949	V	19892946	0.165208135466452	V	20190532	20192158	19868806	20268061	Local eQTL	No	NA	NA	NA	NA	NA	NA	NA	Yes	V	V
WBGene00013431	A_12_P106954	III	11987519	0.249286932054987	III	11581600	11589133	11971503	12202569	Local eQTL	No	NA	NA	NA	NA	NA	NA	NA	NA	III	III
WBGene00016114	A_12_P106960	X	4758185	0.401541148671202	II	5680980	5682669	4674201	5341098	Distant eQTL	No	X	14.5	Yes	63	Yes	13, 13.5, 14, 14.5, 15, 15.5, 16, 16.5, 17	285	NA	II	X
WBGene00017336	A_12_P106971	IV	4761504	0.174352726032324	V	7161068	7163595	4644715	5163110	Distant eQTL	No	IV	28.5	Yes	35	Yes	27.5, 28, 28.5, 29	66	NA	V	IV
WBGene00020834	A_12_P106973	II	1727040	0.121215827098863	II	530848	536860	1041078	1990551	Distant eQTL	No	II	3.5	Yes	6		3.5	6	NA	II	II
WBGene00020834	A_12_P106973	X	9642366	0.00183948736967399	II	530848	536860	8382557	10545442	Distant eQTL	No	X	22.5	No	2	NA	NA	NA	NA	II	X
WBGene00009349	A_12_P106978	V	12931140	0.132240722693606	V	13359334	13360025	12486434	13954172	Local eQTL	No	NA	NA	NA	NA	NA	NA	NA	NA	V	V
WBGene00009349	A_12_P106978	III	7349335	0.00846248522155865	V	13359334	13360025	7137768	8009505	Distant eQTL	No	III	27	No	1	NA	NA	NA	NA	V	III
WBGene00009349	A_12_P106978	I	5497576	1.40724442319521e-05	V	13359334	13360025	4775095	7273652	Distant eQTL	No	I	22	No	4	NA	NA	NA	NA	V	I
WBGene00020092	A_12_P106979	III	4911067	0.338495831887537	III	5024911	5029823	4834284	5224162	Local eQTL	No	NA	NA	NA	NA	NA	NA	NA	NA	III	III
WBGene00022276	A_12_P106984	I	614509	0.0643850656746628	I	11495	16837	398834	1185402	Local eQTL	No	NA	NA	NA	NA	NA	NA	NA	Yes	I	I
WBGene00016431	A_12_P106999	IV	8747453	0.110396399438026	V	5389341	5393148	7381956	9672074	Distant eQTL	No	IV	31.5	Yes	11	Yes	30.5, 31, 31.5, 32	48	NA	V	IV
WBGene00004093	A_12_P107002	I	4214934	0.192860777662163	I	4182843	4189956	3923864	4225559	Local eQTL	No	NA	NA	NA	NA	NA	NA	NA	Yes	I	I
WBGene00022064	A_12_P107003	IV	3370426	0.269162620199199	IV	3202333	3203864	3114992	3407296	Local eQTL	No	NA	NA	NA	NA	NA	NA	NA	NA	IV	IV
WBGene00010055	A_12_P107017	IV	4755912	0.10022251100511	II	11538903	11552081	3831026	6109938	Distant eQTL	No	IV	28.5	Yes	35	Yes	27.5, 28, 28.5, 29	66	NA	II	IV
WBGene00020457	A_12_P107032	III	936500	0.621292597065462	III	949295	950670	904098	939943	Local eQTL	No	NA	NA	NA	NA	NA	NA	NA	NA	III	III
WBGene00022454	A_12_P107042	I	4855280	0.101695934525103	I	5154514	5158500	4775095	4997003	Local eQTL	No	NA	NA	NA	NA	NA	NA	NA	NA	I	I
WBGene00014137	A_12_P107075	IV	12672698	0.168540693246195	IV	12869268	12871513	12062878	12896142	Local eQTL	No	NA	NA	NA	NA	NA	NA	NA	NA	IV	IV
WBGene00014137	A_12_P107075	X	5526747	0.00335085500521449	IV	12869268	12871513	4284268	5810100	Distant eQTL	No	X	16	Yes	35	Yes	13, 13.5, 14, 14.5, 15, 15.5, 16, 16.5, 17	285	NA	IV	X
WBGene00017580	A_12_P107084	X	8948569	0.158288547545288	X	9234960	9242223	8208528	10596631	Local eQTL	No	NA	NA	NA	NA	NA	NA	NA	NA	X	X
WBGene00017580	A_12_P107084	IV	15961314	0.00257701865982277	X	9234960	9242223	15954820	15983752	Distant eQTL	No	IV	42	Yes	41	Yes	41.5, 42	61	NA	X	IV
WBGene00021302	A_12_P107095	V	1913716	0.140794736813304	V	1911402	1913619	708390	2659191	Local eQTL	No	NA	NA	NA	NA	NA	NA	NA	NA	V	V
