trait	ld_betw	eQTL_1	eQTL_2	LD	chroms
T02H6.8.1	Local eQTL to Distant eQTL	III_2816622	II_622528	0.140422301768761	Between different chromosomes
T04B2.1	Local eQTL to Distant eQTL	V_15743935	IV_9116894	0.155876471848907	Between different chromosomes
T04B2.1	Local eQTL to Distant eQTL	X_5067480	IV_9116894	0.0994332972548961	Between different chromosomes
T04B2.1	Local eQTL to Distant eQTL	X_14955875	IV_9116894	0.120010540785533	Between different chromosomes
T05E12.3.1	Local eQTL to Distant eQTL	X_11568717	V_16686817	4.95362132055268e-05	Between different chromosomes
T06A10.107.1	Local eQTL to Distant eQTL	V_4415549	IV_16429360	0.175002379881757	Between different chromosomes
T06A4.1a.2	Local eQTL to Distant eQTL	V_20030979	I_663694	0.0820988375499811	Between different chromosomes
T06D8.1e.1	Local eQTL to Distant eQTL	II_13108012	II_11279813	0.0636147555126025	On the same chromosome
T07D10.8	Local eQTL to Distant eQTL	V_11385288	I_12677225	0.0189302451160657	Between different chromosomes
T07D3.6	Local eQTL to Distant eQTL	V_14649731	II_902093	0.198288259377542	Between different chromosomes
T07G12.10.2	Local eQTL to Distant eQTL	IV_16601816	IV_10752480	0.243756827521431	On the same chromosome
T08E11.8	Local eQTL to Distant eQTL	V_16722240	II_1177776	0.170106808088601	Between different chromosomes
T08G5.5a.2	Local eQTL to Distant eQTL	X_12110964	V_14696659	0.215359899922456	Between different chromosomes
T09E8.1a.1	Local eQTL to Distant eQTL	X_5067480	V_12294693	0.416979879687461	Between different chromosomes
T09E8.1g.1	Local eQTL to Distant eQTL	X_7116370	V_12316209	0.235384961737711	Between different chromosomes
T10B5.7b.1	Local eQTL to Distant eQTL	X_717423	V_2066008	0.118080967662683	Between different chromosomes
T10C6.12.1	Local eQTL to Distant eQTL	X_2600717	V_16054286	0.225315768469036	Between different chromosomes
T10H9.4.2	Local eQTL to Distant eQTL	X_14966284	V_6895812	0.162105488437635	Between different chromosomes
T12B5.6c.1	Local eQTL to Distant eQTL	V_16731492	III_1010972	0.035151345376179	Between different chromosomes
T13B5.3.2	Local eQTL to Distant eQTL	V_14649731	II_1100853	0.111596720483338	Between different chromosomes
T13B5.4.2	Local eQTL to Distant eQTL	V_13959362	II_1107654	0.149375023623972	Between different chromosomes
T13C2.7.1	Local eQTL to Distant eQTL	IV_17270824	II_6776924	0.0346877368797876	Between different chromosomes
T20B3.8	Local eQTL to Distant eQTL	X_9162358	V_16820604	0.0132416723063386	Between different chromosomes
T21E3.1.1	Local eQTL to Distant eQTL	II_13493538	I_4330620	0.247426966257965	Between different chromosomes
T21E3.1.2	Local eQTL to Distant eQTL	II_13215833	I_3689285	0.407870828126786	Between different chromosomes
T23F1.6.1	Local eQTL to Distant eQTL	V_20030979	V_14645499	0.207883964268601	On the same chromosome
T24A6.1a.1	Local eQTL to Distant eQTL	V_19023633	V_3232905	0.217967188035232	On the same chromosome
T24A6.9b.1	Local eQTL to Distant eQTL	V_16133006	V_3485991	0.303784919273886	On the same chromosome
T26H5.14.1	Local eQTL to Distant eQTL	X_3893981	V_15322866	0.426838109610626	Between different chromosomes
T27F6.8.2	Local eQTL to Distant eQTL	IV_10339410	I_12683314	0.161482604013107	Between different chromosomes
T27F6.8.2	Local eQTL to Distant eQTL	IV_16421553	I_12683314	0.199571501750264	Between different chromosomes
VH15N14R.1.1	Local eQTL to Distant eQTL	II_14060605	I_7802091	0.0247202266765793	Between different chromosomes
VY10G11R.1.1	Local eQTL to Distant eQTL	V_10487063	IV_16473387	0.0254360820226955	Between different chromosomes
W02A11.6	Local eQTL to Distant eQTL	V_3249178	I_12759682	0.194026270604925	Between different chromosomes
W02A11.8.1	Local eQTL to Distant eQTL	X_8696594	I_13518747	0.138521438735984	Between different chromosomes
W04H10.4a.1	Local eQTL to Distant eQTL	II_8087770	II_1408380	0.462159215246296	On the same chromosome
W04H10.6a.1	Local eQTL to Distant eQTL	II_5778426	II_619041	0.0323849538655367	On the same chromosome
W04H10.6a.1	Local eQTL to Distant eQTL	II_13158734	II_619041	0.0127686535026711	On the same chromosome
W04H10.6a.1	Local eQTL to Distant eQTL	IV_12078625	II_619041	0.0916791221063808	Between different chromosomes
W04H10.6a.1	Local eQTL to Distant eQTL	V_4369135	II_619041	0.135996792468003	Between different chromosomes
W05B10.1.2	Local eQTL to Distant eQTL	X_4877879	V_13438045	0.183680266345722	Between different chromosomes
W05B2.5.2	Local eQTL to Distant eQTL	IV_12807869	III_11873598	0.132950981207642	Between different chromosomes
W05B2.5.2	Local eQTL to Distant eQTL	X_2453189	III_11873598	0.161482604013107	Between different chromosomes
W05B2.5.2	Local eQTL to Distant eQTL	X_11162369	III_11873598	0.161482604013107	Between different chromosomes
W05F2.8a.1	Local eQTL to Distant eQTL	III_10711235	I_3351378	0.00188829636903502	Between different chromosomes
W05G11.2	Local eQTL to Distant eQTL	V_18685235	III_12276	0.114161392090716	Between different chromosomes
W05H12.2	Local eQTL to Distant eQTL	X_7803440	I_13411934	0.294373333331016	Between different chromosomes
W05H12.4.2	Local eQTL to Distant eQTL	V_13762996	I_13411934	0.361398383640097	Between different chromosomes
W05H12.4.2	Local eQTL to Distant eQTL	X_3893981	I_13411934	0.44680981320195	Between different chromosomes
W09D10.2.1	Local eQTL to Distant eQTL	MtDNA_4699	III_10600467	0.131306157154434	Between different chromosomes
W09H1.1a.1	Local eQTL to Distant eQTL	IV_6232856	II_13519520	0.0217110061915184	Between different chromosomes
Y104H12D.3b.1	Local eQTL to Distant eQTL	V_20636831	IV_1135362	0.013374439262809	Between different chromosomes
Y105C5B.12	Local eQTL to Distant eQTL	X_2099030	IV_15968885	0.111842216650444	Between different chromosomes
Y105E8A.20b.1	Local eQTL to Distant eQTL	V_19517561	I_14544403	0.310416524820752	Between different chromosomes
Y110A2AM.3a.2	Local eQTL to Distant eQTL	V_20900332	II_2724907	0.0786400905742139	Between different chromosomes
Y111B2A.4a.1	Local eQTL to Distant eQTL	IV_6769970	III_12619451	0.0413522773574088	Between different chromosomes
Y111B2A.4a.1	Local eQTL to Distant eQTL	V_5777049	III_12619451	0.253976898568311	Between different chromosomes
Y111B2A.4a.1	Local eQTL to Distant eQTL	X_14757095	III_12619451	0.144510241396689	Between different chromosomes
Y119C1B.8b.1	Local eQTL to Distant eQTL	IV_13529712	I_4502140	0.256655995548653	Between different chromosomes
Y119C1B.8b.2	Local eQTL to Distant eQTL	IV_13529712	I_5294573	0.315876195466847	Between different chromosomes
Y119D3A.2.1	Local eQTL to Distant eQTL	IV_15491767	III_1307341	0.0358721696040254	Between different chromosomes
Y119D3A.2.1	Local eQTL to Distant eQTL	V_6830224	III_1307341	0.000476146683685945	Between different chromosomes
Y119D3B.20	Local eQTL to Distant eQTL	IV_7225100	III_1322691	0.321131377331219	Between different chromosomes
Y11D7A.12a.2	Local eQTL to Distant eQTL	V_20001672	IV_8272382	0.00344144573363506	Between different chromosomes
Y16E11A.1.1	Local eQTL to Distant eQTL	V_11238035	II_1612208	0.0223928619511506	Between different chromosomes
Y16E11A.4.1	Local eQTL to Distant eQTL	III_7310140	II_1166303	0.0108111912691155	Between different chromosomes
Y17D7B.1b.1	Local eQTL to Distant eQTL	X_6904378	V_18847432	0.207300062181673	Between different chromosomes
Y17D7C.3	Local eQTL to Distant eQTL	X_1905739	V_18685235	0.477394722482219	Between different chromosomes
Y17G7B.11.2	Local eQTL to Distant eQTL	III_12815804	II_12061666	0.166600289713821	Between different chromosomes
Y17G7B.23a.1	Local eQTL to Distant eQTL	X_5805427	II_12058375	0.181377401161865	Between different chromosomes
Y19D10A.10	Local eQTL to Distant eQTL	X_15547286	V_2569206	0.311184331569834	Between different chromosomes
Y20F4.4a.1	Local eQTL to Distant eQTL	IV_15294937	I_2118322	0.119315270484324	Between different chromosomes
Y20F4.4b.1	Local eQTL to Distant eQTL	IV_15263521	I_2056750	0.0953082561101308	Between different chromosomes
Y37A1B.5a.1	Local eQTL to Distant eQTL	V_9058366	IV_14988151	0.121067074570252	Between different chromosomes
Y37F4.1.1	Local eQTL to Distant eQTL	IV_584046	I_10826462	0.00338701529562722	Between different chromosomes
Y37F4.3.1	Local eQTL to Distant eQTL	III_3307512	I_10826462	0.332153066245238	Between different chromosomes
Y37F4.3.1	Local eQTL to Distant eQTL	IV_8583608	I_10826462	0.199356929682582	Between different chromosomes
Y37F4.3.1	Local eQTL to Distant eQTL	V_20231622	I_10826462	0.228425952826089	Between different chromosomes
Y37F4.3.1	Local eQTL to Distant eQTL	X_7266229	I_10826462	0.265277483938616	Between different chromosomes
Y38C1AB.8b.1	Local eQTL to Distant eQTL	V_10343103	IV_80195	0.260296085219539	Between different chromosomes
Y38C1AB.8b.1	Local eQTL to Distant eQTL	X_4562158	IV_80195	0.260296085219539	Between different chromosomes
Y38F2AL.6	Local eQTL to Distant eQTL	V_18108540	IV_2282718	0.025867043335599	Between different chromosomes
Y39B6A.43c.1	Local eQTL to Distant eQTL	X_7293674	V_19048999	0.138198087497928	Between different chromosomes
Y39G10AR.20.1	Local eQTL to Distant eQTL	I_14721419	I_2284924	0.407334255990132	On the same chromosome
Y41D4B.15.1	Local eQTL to Distant eQTL	V_5295653	IV_1572380	0.000702564959621944	Between different chromosomes
Y45F10C.4.1	Local eQTL to Distant eQTL	X_303285	IV_13635672	0.409975325900233	Between different chromosomes
Y46E12BL.3.1	Local eQTL to Distant eQTL	X_7257582	II_14455896	0.14092112677524	Between different chromosomes
Y46G5A.14.2	Local eQTL to Distant eQTL	IV_16631240	II_12775053	0.0061897889037458	Between different chromosomes
Y46G5A.14.2	Local eQTL to Distant eQTL	X_7302838	II_12775053	0.138198087497928	Between different chromosomes
Y46G5A.43	Local eQTL to Distant eQTL	IV_15532684	II_12797115	0.0363809046037563	Between different chromosomes
Y46H3C.5.2	Local eQTL to Distant eQTL	X_16864810	V_1744920	0.00643081883165871	Between different chromosomes
Y46H3C.6	Local eQTL to Distant eQTL	V_14396609	V_1014343	0.0194536042640122	On the same chromosome
Y46H3C.6	Local eQTL to Distant eQTL	X_14375587	V_1014343	0.0449355630634396	Between different chromosomes
Y47D7A.8.1	Local eQTL to Distant eQTL	X_4546138	V_4333001	0.179459444138876	Between different chromosomes
Y47G7B.2.1	Local eQTL to Distant eQTL	IV_4267111	II_2716732	0.00632547975775829	Between different chromosomes
Y47H10A.2.1	Local eQTL to Distant eQTL	II_914265	I_11524657	0.00101847550121568	Between different chromosomes
Y48B6A.6c.1	Local eQTL to Distant eQTL	X_1905739	II_13949432	0.652842586844204	Between different chromosomes
Y48G1C.12.1	Local eQTL to Distant eQTL	II_2769983	I_452643	0.14629007475893	Between different chromosomes
Y48G1C.12.1	Local eQTL to Distant eQTL	III_785992	I_452643	0.161482604013107	Between different chromosomes
Y48G1C.12.1	Local eQTL to Distant eQTL	III_12398088	I_452643	0.107458673145855	Between different chromosomes
Y48G1C.12.1	Local eQTL to Distant eQTL	IV_15143318	I_452643	0.0860384680314111	Between different chromosomes
Y48G1C.4a.1	Local eQTL to Distant eQTL	II_2836197	I_452643	0.132950981207642	Between different chromosomes
Y48G8AL.11a.1	Local eQTL to Distant eQTL	II_8699190	I_2013010	0.420110091639385	Between different chromosomes
Y48G8AL.11a.1	Local eQTL to Distant eQTL	IV_16421553	I_2013010	0.493667841079259	Between different chromosomes
Y48G8AL.11a.1	Local eQTL to Distant eQTL	V_1191	I_2013010	0.454253742763023	Between different chromosomes
Y48G8AL.11a.1	Local eQTL to Distant eQTL	X_6769644	I_2013010	0.390241313640999	Between different chromosomes
Y48G8AL.11a.1	Local eQTL to Distant eQTL	X_15042416	I_2013010	0.219960971648948	Between different chromosomes
Y48G8AL.11a.2	Local eQTL to Distant eQTL	II_8699190	I_2013010	0.420110091639385	Between different chromosomes
Y48G8AL.11a.2	Local eQTL to Distant eQTL	IV_16421553	I_2013010	0.493667841079259	Between different chromosomes
Y48G8AL.11a.2	Local eQTL to Distant eQTL	V_1191	I_2013010	0.454253742763023	Between different chromosomes
Y48G8AL.11a.2	Local eQTL to Distant eQTL	X_1612592	I_2013010	0.539673494090091	Between different chromosomes
Y49E10.15.2	Local eQTL to Distant eQTL	IV_16473382	III_12394800	0.202750586555172	Between different chromosomes
Y49E10.8	Local eQTL to Distant eQTL	V_19996083	III_12381491	0.00305569369730245	Between different chromosomes
Y49F6C.1	Local eQTL to Distant eQTL	II_8699190	II_3376313	0.409975325900233	On the same chromosome
Y49F6C.5.1	Local eQTL to Distant eQTL	II_10723058	II_3434788	0.133115796322971	On the same chromosome
Y4C6B.2b.1	Local eQTL to Distant eQTL	V_16792223	IV_5433699	0.0299368972729954	Between different chromosomes
Y51H1A.3a.1	Local eQTL to Distant eQTL	III_9399943	II_13965856	0.351031458918994	Between different chromosomes
Y51H1A.3a.1	Local eQTL to Distant eQTL	IV_467151	II_13965856	0.273553252612434	Between different chromosomes
Y51H1A.3a.1	Local eQTL to Distant eQTL	IV_16386399	II_13965856	0.30583922487583	Between different chromosomes
Y51H1A.3a.2	Local eQTL to Distant eQTL	III_9399943	II_13965856	0.351031458918994	Between different chromosomes
Y51H1A.3a.2	Local eQTL to Distant eQTL	IV_467151	II_13965856	0.273553252612434	Between different chromosomes
Y51H1A.3b.1	Local eQTL to Distant eQTL	V_13589743	II_14485466	0.460220833287447	Between different chromosomes
Y51H1A.3b.1	Local eQTL to Distant eQTL	V_18849905	II_14485466	0.380539509099442	Between different chromosomes
Y51H1A.3b.1	Local eQTL to Distant eQTL	X_1905739	II_14485466	0.593761751750259	Between different chromosomes
Y51H7BM.1.1	Local eQTL to Distant eQTL	V_12481058	II_1677238	0.00440046607901848	Between different chromosomes
Y51H7BM.1.1	Local eQTL to Distant eQTL	V_18004032	II_1677238	0.00401600904229061	Between different chromosomes
Y51H7C.11.2	Local eQTL to Distant eQTL	V_14292100	II_2212079	0.124562453481803	Between different chromosomes
Y52B11A.11.1	Local eQTL to Distant eQTL	III_610190	I_11030910	0.0762454856594209	Between different chromosomes
Y53F4B.17.1	Local eQTL to Distant eQTL	III_12772042	II_14870791	0.0413625961065074	Between different chromosomes
Y53F4B.20.1	Local eQTL to Distant eQTL	III_12619451	II_14906775	0.138521438735984	Between different chromosomes
Y53F4B.22a.2	Local eQTL to Distant eQTL	X_8579010	II_14870791	0.256309482257618	Between different chromosomes
Y53F4B.29.1	Local eQTL to Distant eQTL	III_10090816	II_14936181	0.188444301453524	Between different chromosomes
Y54E5B.2.1	Local eQTL to Distant eQTL	V_14654518	I_14841829	0.0247601550763744	Between different chromosomes
Y54G11A.3.1	Local eQTL to Distant eQTL	X_1479451	II_14555097	0.49366784107924	Between different chromosomes
Y54G11A.6.1	Local eQTL to Distant eQTL	III_4892173	II_14625147	0.673814495307405	Between different chromosomes
Y54G11A.6.1	Local eQTL to Distant eQTL	X_717423	II_14625147	0.353925543712975	Between different chromosomes
Y54G11A.6.1	Local eQTL to Distant eQTL	X_16028044	II_14625147	0.575212682366599	Between different chromosomes
Y54G11A.6.2	Local eQTL to Distant eQTL	III_4892173	II_14625147	0.673814495307405	Between different chromosomes
Y54G11A.6.2	Local eQTL to Distant eQTL	X_8007974	II_14625147	0.0634457843385683	Between different chromosomes
Y54G11A.6.2	Local eQTL to Distant eQTL	X_16028044	II_14625147	0.575212682366599	Between different chromosomes
Y54G11B.1.1	Local eQTL to Distant eQTL	X_14446308	II_15111383	0.161482604013107	Between different chromosomes
Y54G11B.1.2	Local eQTL to Distant eQTL	III_12619451	II_15111383	0.310416524820752	Between different chromosomes
Y54G11B.1.2	Local eQTL to Distant eQTL	V_13722936	II_15111383	0.182128202801359	Between different chromosomes
Y55F3AM.2.1	Local eQTL to Distant eQTL	V_1766994	IV_1044931	0.30846632491462	Between different chromosomes
Y55F3AM.3a.1	Local eQTL to Distant eQTL	IV_12884643	IV_43186	0.0164040791941686	On the same chromosome
Y55F3AM.7b.1	Local eQTL to Distant eQTL	IV_7428006	IV_937336	0.243756827521431	On the same chromosome
Y56A3A.30.2	Local eQTL to Distant eQTL	V_18960133	III_11980431	0.171196562955786	Between different chromosomes
Y57A10A.5.1	Local eQTL to Distant eQTL	IV_16386399	II_12132844	0.623827712969841	Between different chromosomes
Y57G11C.36.1	Local eQTL to Distant eQTL	V_20310717	IV_14704822	0.0389538379286064	Between different chromosomes
Y58A7A.4.1	Local eQTL to Distant eQTL	X_14955875	V_5113365	0.0672867405212427	Between different chromosomes
Y62E10A.11.1	Local eQTL to Distant eQTL	V_5001295	IV_13369766	0.36685356732099	Between different chromosomes
Y62E10A.6.1	Local eQTL to Distant eQTL	V_11396876	IV_13740583	0.0374318960045639	Between different chromosomes
Y63D3A.6a.1	Local eQTL to Distant eQTL	V_10487063	I_14106800	0.14629007475893	Between different chromosomes
Y69H2.3a.1	Local eQTL to Distant eQTL	X_1905739	V_18685235	0.477394722482219	Between different chromosomes
Y69H2.3d.1	Local eQTL to Distant eQTL	X_1905739	V_18685235	0.477394722482219	Between different chromosomes
Y69H2.3e.1	Local eQTL to Distant eQTL	X_1905739	V_18685235	0.477394722482219	Between different chromosomes
Y69H2.3g.1	Local eQTL to Distant eQTL	X_1905739	V_18685235	0.477394722482219	Between different chromosomes
Y71A12B.13a	Local eQTL to Distant eQTL	IV_15240062	I_13861750	0.255859525668252	Between different chromosomes
Y71F9AL.10b.1	Local eQTL to Distant eQTL	V_7317606	I_2804940	0.00275149067843491	Between different chromosomes
Y71F9AL.10b.1	Local eQTL to Distant eQTL	V_19670569	I_2804940	0.0124790398854946	Between different chromosomes
Y71G12B.35.1	Local eQTL to Distant eQTL	IV_16040562	I_1673141	0.0129437055284198	Between different chromosomes
Y71G12B.9a.1	Local eQTL to Distant eQTL	II_13467594	I_2728998	0.0797348116792551	Between different chromosomes
Y71H2B.2.2	Local eQTL to Distant eQTL	IV_4118251	III_2910515	0.179459444138876	Between different chromosomes
Y73C8B.1.1	Local eQTL to Distant eQTL	V_16373009	V_3432406	0.260321590853389	On the same chromosome
Y73E7A.1a.2	Local eQTL to Distant eQTL	V_1759952	I_1651794	0.103917237131688	Between different chromosomes
Y73F8A.31	Local eQTL to Distant eQTL	V_5065362	IV_15531652	6.3244243993497e-05	Between different chromosomes
Y74C10AR.3a.2	Local eQTL to Distant eQTL	III_12528761	I_2447699	0.000187966221157817	Between different chromosomes
Y74C9A.2a.2	Local eQTL to Distant eQTL	V_10343103	I_839222	0.0762454856594209	Between different chromosomes
Y74C9A.2a.2	Local eQTL to Distant eQTL	X_4562158	I_839222	0.0762454856594209	Between different chromosomes
Y92C3B.1.1	Local eQTL to Distant eQTL	III_11275167	III_620571	0.0860384680313376	On the same chromosome
Y92C3B.1.1	Local eQTL to Distant eQTL	V_16730413	III_620571	0.0308486685910049	Between different chromosomes
Y92C3B.1.1	Local eQTL to Distant eQTL	X_6752814	III_620571	0.0417221840043457	Between different chromosomes
Y95B8A.8.1	Local eQTL to Distant eQTL	X_11652511	I_880114	0.15383847516233	Between different chromosomes
ZC204.16	Local eQTL to Distant eQTL	X_11378563	II_1612208	0.0789026863261055	Between different chromosomes
ZC47.3.2	Local eQTL to Distant eQTL	IV_1551129	III_1267124	0.232002780458347	Between different chromosomes
ZC47.3.2	Local eQTL to Distant eQTL	X_15199679	III_1267124	0.165476832983675	Between different chromosomes
ZK1025.10.1	Local eQTL to Distant eQTL	V_20636831	I_11372174	0.0289955022802199	Between different chromosomes
ZK1127.1.2	Local eQTL to Distant eQTL	IV_15391345	II_6920787	0.14629007475893	Between different chromosomes
ZK1127.1.2	Local eQTL to Distant eQTL	V_19032120	II_6920787	0.265277483938616	Between different chromosomes
ZK1127.1.2	Local eQTL to Distant eQTL	X_14159469	II_6920787	0.159422033401962	Between different chromosomes
ZK355.2a.2	Local eQTL to Distant eQTL	II_10258422	II_3789546	0.00349580896105436	On the same chromosome
ZK355.2a.2	Local eQTL to Distant eQTL	V_13629698	II_3789546	0.343695497246459	Between different chromosomes
ZK6.10a.1	Local eQTL to Distant eQTL	X_7334123	V_1191	0.62985942794227	Between different chromosomes
ZK6.10a.2	Local eQTL to Distant eQTL	X_7334123	V_292088	0.584120370571915	Between different chromosomes
ZK6.10b.1	Local eQTL to Distant eQTL	X_7334123	V_588342	0.543323840274146	Between different chromosomes
3R5.1a.1	Distant eQTL to Distant eQTL	V_18970973	III_12512302	0.221337608336491	Between different chromosomes
B0001.6.2	Distant eQTL to Distant eQTL	X_1658638	V_1859969	0.0657245954601067	Between different chromosomes
B0035.10.1	Distant eQTL to Distant eQTL	V_7820031	IV_8009711	0.506838501772619	Between different chromosomes
B0035.10.1	Distant eQTL to Distant eQTL	V_18849905	IV_8009711	0.313514511295341	Between different chromosomes
B0035.10.1	Distant eQTL to Distant eQTL	V_18849905	V_7820031	0.313514511295341	On the same chromosome
B0035.9.1	Distant eQTL to Distant eQTL	III_12491239	II_671347	0.118080967662683	Between different chromosomes
B0205.13.1	Distant eQTL to Distant eQTL	X_14375587	I_12101627	0.147893971810639	Between different chromosomes
B0205.14.1	Distant eQTL to Distant eQTL	IV_6611540	I_11928955	0.12925056144098	Between different chromosomes
B0205.14.1	Distant eQTL to Distant eQTL	V_14654518	I_11928955	0.189732631866461	Between different chromosomes
B0205.14.1	Distant eQTL to Distant eQTL	V_14654518	IV_6611540	0.253492361480786	Between different chromosomes
B0213.5.1	Distant eQTL to Distant eQTL	V_7317606	IV_16047511	0.0488734750833043	Between different chromosomes
B0238.15.1	Distant eQTL to Distant eQTL	X_5067480	V_10412590	0.260296085219539	Between different chromosomes
B0250.3	Distant eQTL to Distant eQTL	II_473231	I_1689321	0.141473982323699	Between different chromosomes
B0250.3	Distant eQTL to Distant eQTL	IV_15065063	I_1689321	0.0161350734211342	Between different chromosomes
B0250.3	Distant eQTL to Distant eQTL	V_5295653	I_1689321	0.0298834162013755	Between different chromosomes
B0250.3	Distant eQTL to Distant eQTL	IV_15065063	II_473231	0.0717984710277893	Between different chromosomes
B0250.3	Distant eQTL to Distant eQTL	V_5295653	II_473231	0.110265373347121	Between different chromosomes
B0250.3	Distant eQTL to Distant eQTL	V_5295653	IV_15065063	0.106924625727167	Between different chromosomes
B0280.2.1	Distant eQTL to Distant eQTL	II_13519520	II_946924	0.131886807716549	On the same chromosome
B0280.2.1	Distant eQTL to Distant eQTL	III_2608757	II_946924	0.0472313448889203	Between different chromosomes
B0280.2.1	Distant eQTL to Distant eQTL	III_2608757	II_13519520	0.289495986689708	Between different chromosomes
B0280.7.1	Distant eQTL to Distant eQTL	IV_4430374	II_13176850	0.199571501750264	Between different chromosomes
B0280.7.1	Distant eQTL to Distant eQTL	V_14447671	II_13176850	0.16651447030643	Between different chromosomes
B0280.7.1	Distant eQTL to Distant eQTL	V_14447671	IV_4430374	0.147893971810639	Between different chromosomes
B0331.1.1	Distant eQTL to Distant eQTL	IV_4665571	II_3569186	0.150356276260263	Between different chromosomes
B0344.2.2	Distant eQTL to Distant eQTL	V_14649731	II_946924	0.141308813235556	Between different chromosomes
B0393.5.1	Distant eQTL to Distant eQTL	V_14649731	II_946924	0.141308813235556	Between different chromosomes
B0432.13.1	Distant eQTL to Distant eQTL	V_20030979	I_1557541	0.19957150175055	Between different chromosomes
B0462.3.1	Distant eQTL to Distant eQTL	V_20443591	II_5586326	0.253976898568311	Between different chromosomes
B0564.10a.1	Distant eQTL to Distant eQTL	V_14822751	I_9430889	0.199992879469214	Between different chromosomes
B0564.10a.1	Distant eQTL to Distant eQTL	X_4793981	I_9430889	0.323211065657204	Between different chromosomes
B0564.10a.1	Distant eQTL to Distant eQTL	X_4793981	V_14822751	0.268125693955674	Between different chromosomes
C01A2.3.2	Distant eQTL to Distant eQTL	V_14645553	I_11250635	0.424034549253367	Between different chromosomes
C01G12.1.2	Distant eQTL to Distant eQTL	X_8740424	V_5501275	0.44848812802109	Between different chromosomes
C02B8.5.1	Distant eQTL to Distant eQTL	V_7317606	III_3353294	0.480587297105725	Between different chromosomes
C03D6.4.2	Distant eQTL to Distant eQTL	X_9096669	II_12885725	0.107458673145855	Between different chromosomes
C03G5.9.1	Distant eQTL to Distant eQTL	V_10037950	II_13222389	0.199356929682582	Between different chromosomes
C04F12.9.2	Distant eQTL to Distant eQTL	V_15961042	IV_16444023	0.000288550542098792	Between different chromosomes
C05B5.5a.1	Distant eQTL to Distant eQTL	I_12762897	I_1071327	0.0228160844669201	On the same chromosome
C05C9.1.1	Distant eQTL to Distant eQTL	III_11891019	I_14700446	0.0860384680314111	Between different chromosomes
C05C9.1.1	Distant eQTL to Distant eQTL	IV_4430374	I_14700446	0.221639849050949	Between different chromosomes
C05C9.1.1	Distant eQTL to Distant eQTL	V_14654518	I_14700446	0.184593879230097	Between different chromosomes
C05C9.1.1	Distant eQTL to Distant eQTL	IV_4430374	III_11891019	0.117552774401392	Between different chromosomes
C05C9.1.1	Distant eQTL to Distant eQTL	V_14654518	III_11891019	0.0684571258352748	Between different chromosomes
C05C9.1.1	Distant eQTL to Distant eQTL	V_14654518	IV_4430374	0.316592861241986	Between different chromosomes
C05E11.3b.1	Distant eQTL to Distant eQTL	II_13493538	I_3689285	0.439473635592518	Between different chromosomes
C05E11.3b.1	Distant eQTL to Distant eQTL	X_9075183	I_3689285	0.240907188417421	Between different chromosomes
C05E11.3b.1	Distant eQTL to Distant eQTL	X_9075183	II_13493538	0.182979824242155	Between different chromosomes
C06B8.7.2	Distant eQTL to Distant eQTL	III_11443642	III_2644030	0.0910710148223032	On the same chromosome
C06B8.7.2	Distant eQTL to Distant eQTL	IV_3106262	III_2644030	0.0363571052174003	Between different chromosomes
C06B8.7.2	Distant eQTL to Distant eQTL	IV_3106262	III_11443642	0.127626414590101	Between different chromosomes
C06C3.4.1	Distant eQTL to Distant eQTL	IV_15323768	II_946924	0.123574939950573	Between different chromosomes
C06E7.4a.2	Distant eQTL to Distant eQTL	X_6526258	V_14447671	0.244526567836765	Between different chromosomes
C06G3.7b.1	Distant eQTL to Distant eQTL	II_2701077	I_809053	0.159422033401962	Between different chromosomes
C06G3.7b.1	Distant eQTL to Distant eQTL	IV_4018615	I_809053	0.111842216650444	Between different chromosomes
C06G3.7b.1	Distant eQTL to Distant eQTL	X_11690885	I_809053	0.179459444138876	Between different chromosomes
C06G3.7b.1	Distant eQTL to Distant eQTL	IV_4018615	II_2701077	0.0948600164272816	Between different chromosomes
C06G3.7b.1	Distant eQTL to Distant eQTL	X_11690885	II_2701077	0.159422033401962	Between different chromosomes
C06G3.7b.1	Distant eQTL to Distant eQTL	X_11690885	IV_4018615	0.172054924398935	Between different chromosomes
C06G3.8a.1	Distant eQTL to Distant eQTL	V_14699598	III_12080737	0.260296085219535	Between different chromosomes
C06H2.5a.1	Distant eQTL to Distant eQTL	IV_4430374	III_2644030	0.130633677794635	Between different chromosomes
C06H2.5a.1	Distant eQTL to Distant eQTL	V_14649731	III_2644030	0.189617987945837	Between different chromosomes
C06H2.5a.1	Distant eQTL to Distant eQTL	V_14649731	IV_4430374	0.277086347350016	Between different chromosomes
C06H5.1.1	Distant eQTL to Distant eQTL	V_16786281	IV_16047511	0.000323997234892152	Between different chromosomes
C07H6.2.1	Distant eQTL to Distant eQTL	III_9993012	II_13557834	0.459795413654253	Between different chromosomes
C08A9.10.2	Distant eQTL to Distant eQTL	X_15514168	III_3221019	0.152815949761617	Between different chromosomes
C08E3.11	Distant eQTL to Distant eQTL	II_13907987	I_13355703	0.310321046953491	Between different chromosomes
C08E3.11	Distant eQTL to Distant eQTL	V_14652952	I_13355703	0.255383888827201	Between different chromosomes
C08E3.11	Distant eQTL to Distant eQTL	X_5067480	I_13355703	0.228877689162671	Between different chromosomes
C08E3.11	Distant eQTL to Distant eQTL	V_14652952	II_13907987	0.309567795651735	Between different chromosomes
