transcript	eQTL_Chr	eQTL_peak	finemapping_gene	finemapping_variant	BLOSUM	VARIANT_IMPACT	class	hotspot_cM	hotspot_Chr	Merged_hotspots_cM
F18A1.3b.1	II	8843293	mab-3	9735025	-1	HIGH	TF	19	II	19, 19.5
F18A1.3b.1	II	8843293	mab-3	9735025	-1	HIGH	TF	19	X	18.5, 19, 19.5
F19G12.9a.1	I	4696683	lim-7	5725342	-1	HIGH	TF	21	V	21
F19G12.9a.1	I	4696683	lim-7	5725342	-1	HIGH	TF	21	I	21
F20C5.5.1	V	10864889	jmjd-5	11128895	-1	HIGH	Chromatin cofactor	23	V	23, 23.5
F20C5.5.1	X	6526258	sprp-4	8850619	-2	HIGH	TF	18.5	X	18.5, 19, 19.5
F20D6.1.1	X	7116370	sprp-4	8850619	-2	HIGH	TF	19.5	II	19, 19.5
F20D6.1.1	X	7116370	sprp-4	8850619	-2	HIGH	TF	19.5	X	18.5, 19, 19.5
F21C10.10.1	II	9189408	E02H1.5	9595509	-2	HIGH	TF	19.5	II	19, 19.5
F21C10.10.1	II	9189408	E02H1.5	9595509	-2	HIGH	TF	19.5	X	18.5, 19, 19.5
F21C10.9.2	V	10951366	cky-1	12740287	-1	HIGH	TF	23	V	23, 23.5
F21C10.9.2	V	10951366	zip-5	13269711	-2	HIGH	TF	23	V	23, 23.5
F21D5.4.1	IV	10222682	plp-1	7634038	-3	HIGH	TF	32	I	32
F21D5.4.1	IV	10222682	plp-1	7634038	-3	HIGH	TF	32	IV	30.5, 31, 31.5, 32, 32.5
F21D5.4.1	IV	10222682	nhr-258	8046258	-1	HIGH	TF	32	I	32
F21D5.4.1	IV	10222682	nhr-258	8046258	-1	HIGH	TF	32	IV	30.5, 31, 31.5, 32, 32.5
F21D5.4.1	IV	10222682	zim-1	10547775	-2	HIGH	TF	32	I	32
F21D5.4.1	IV	10222682	zim-1	10547775	-2	HIGH	TF	32	IV	30.5, 31, 31.5, 32, 32.5
F22D6.8.1	V	20410593	ttx-1	20064158	-2	HIGH	TF	45.5	III	45.5
F22D6.8.1	V	20410593	ttx-1	20064158	-2	HIGH	TF	45.5	V	44.5, 45, 45.5
F22G12.5c.1	IV	16027005	nhr-5	15406553	-2	HIGH	TF	42	IV	41.5, 42, 42.5
F25B5.4.1	V	20410593	ttx-1	20064158	-2	HIGH	TF	45.5	III	45.5
F25B5.4.1	V	20410593	ttx-1	20064158	-2	HIGH	TF	45.5	V	44.5, 45, 45.5
F25E5.4.1	V	13718280	nhr-84	15878383	-2	HIGH	TF	26	III	26, 26.5, 27, 27.5
F25E5.4.1	V	13718280	nhr-84	15878383	-2	HIGH	TF	26	V	26, 26.5, 27
F25E5.4.1	V	13718280	nhr-213	15896217	-1	HIGH	TF	26	III	26, 26.5, 27, 27.5
F25E5.4.1	V	13718280	nhr-213	15896217	-1	HIGH	TF	26	V	26, 26.5, 27
F25H8.1a.2	IV	10940663	zim-2	10557342	-3	HIGH	TF	32.5	IV	30.5, 31, 31.5, 32, 32.5
F25H8.6.2	IV	4430374	hil-2	6294361	-2	HIGH	Chromatin cofactor	28	IV	27.5, 28
F26E4.8b.1	IV	15469577	nhr-5	15406553	-2	HIGH	TF	41.5	IV	41.5, 42, 42.5
F26G1.8	V	20410593	ttx-1	20064158	-2	HIGH	TF	45.5	III	45.5
F26G1.8	V	20410593	ttx-1	20064158	-2	HIGH	TF	45.5	V	44.5, 45, 45.5
F28G4.5	IV	15068097	nhr-5	15406553	-2	HIGH	TF	40.5	IV	40.5
F29B9.2b.1	IV	16027005	nhr-5	15406553	-2	HIGH	TF	42	IV	41.5, 42, 42.5
F29C12.1b.1	IV	4430374	hil-2	6294361	-2	HIGH	Chromatin cofactor	28	IV	27.5, 28
F29C12.1b.1	V	14654518	nhr-84	15878383	-2	HIGH	TF	27	V	26, 26.5, 27
F29C12.1b.1	V	14654518	nhr-84	15878383	-2	HIGH	TF	27	III	26, 26.5, 27, 27.5
F29C12.1b.1	V	14654518	nhr-213	15896217	-1	HIGH	TF	27	V	26, 26.5, 27
F29C12.1b.1	V	14654518	nhr-213	15896217	-1	HIGH	TF	27	III	26, 26.5, 27, 27.5
F31B9.8	III	6563694	nfx-1	6375500	-2	HIGH	TF	26.5	V	26, 26.5, 27
F31B9.8	III	6563694	nfx-1	6375500	-2	HIGH	TF	26.5	III	26, 26.5, 27, 27.5
F31B9.8	III	6563694	mml-1	7371604	-2	HIGH	TF	26.5	V	26, 26.5, 27
F31B9.8	III	6563694	mml-1	7371604	-2	HIGH	TF	26.5	III	26, 26.5, 27, 27.5
F31F4.7.1	V	20060851	ttx-1	20064158	-2	HIGH	TF	45	V	44.5, 45, 45.5
F32B6.6.1	V	4390262	nhr-181	4095405	-2	HIGH	TF	14.5	V	14.5, 15
F32D1.11.1	IV	4430374	hil-2	6294361	-2	HIGH	Chromatin cofactor	28	IV	27.5, 28
F32E10.3b.1	IV	4430374	hil-2	6294361	-2	HIGH	Chromatin cofactor	28	IV	27.5, 28
F32H2.5.1	III	8549722	mml-1	7371604	-2	HIGH	TF	27.5	IV	27.5, 28
F32H2.5.1	III	8549722	mml-1	7371604	-2	HIGH	TF	27.5	III	26, 26.5, 27, 27.5
F32H2.5.1	III	8549722	R05D3.3	8366304	-3	HIGH	TF	27.5	IV	27.5, 28
F32H2.5.1	III	8549722	R05D3.3	8366304	-3	HIGH	TF	27.5	III	26, 26.5, 27, 27.5
F35D2.2.1	IV	4430374	hil-2	6294361	-2	HIGH	Chromatin cofactor	28	IV	27.5, 28
F36G9.13.1	X	4590025	lfi-1	4976984	-2	HIGH	TF	14	X	14
F36H12.1.1	IV	7353010	C08G9.2	7672792	-1	HIGH	TF	31	IV	30.5, 31, 31.5, 32, 32.5
F36H12.14	V	20410593	ttx-1	20064158	-2	HIGH	TF	45.5	III	45.5
F36H12.14	V	20410593	ttx-1	20064158	-2	HIGH	TF	45.5	V	44.5, 45, 45.5
F36H12.8.1	IV	6539887	hil-2	6294361	-2	HIGH	Chromatin cofactor	30.5	IV	30.5, 31, 31.5, 32, 32.5
F36H12.8.1	IV	6539887	hil-2	6294361	-2	HIGH	Chromatin cofactor	30.5	V	30.5
F36H1.2b.1	IV	9788227	nhr-264	9293192	-2	HIGH	TF	32	I	32
F36H1.2b.1	IV	9788227	nhr-264	9293192	-2	HIGH	TF	32	IV	30.5, 31, 31.5, 32, 32.5
F36H1.2b.1	IV	9788227	zim-3	10559496	-2	HIGH	TF	32	I	32
F36H1.2b.1	IV	9788227	zim-3	10559496	-2	HIGH	TF	32	IV	30.5, 31, 31.5, 32, 32.5
F36H1.2b.1	IV	9788227	zim-3	10559793	-1	HIGH	TF	32	I	32
F36H1.2b.1	IV	9788227	zim-3	10559793	-1	HIGH	TF	32	IV	30.5, 31, 31.5, 32, 32.5
F36H2.6.1	V	20001672	ttx-1	20064158	-2	HIGH	TF	44.5	V	44.5, 45, 45.5
F36H5.13.1	IV	10940933	nhr-264	9293192	-2	HIGH	TF	32.5	IV	30.5, 31, 31.5, 32, 32.5
F36H5.13.1	IV	10940933	zim-2	10557342	-3	HIGH	TF	32.5	IV	30.5, 31, 31.5, 32, 32.5
F36H5.13.1	IV	10940933	zim-3	10559496	-2	HIGH	TF	32.5	IV	30.5, 31, 31.5, 32, 32.5
F36H5.13.1	IV	10940933	zim-3	10559793	-1	HIGH	TF	32.5	IV	30.5, 31, 31.5, 32, 32.5
F37C4.8a.1	V	20410593	ttx-1	20064158	-2	HIGH	TF	45.5	III	45.5
F37C4.8a.1	V	20410593	ttx-1	20064158	-2	HIGH	TF	45.5	V	44.5, 45, 45.5
F39D8.4.1	IV	4430374	hil-2	6294361	-2	HIGH	Chromatin cofactor	28	IV	27.5, 28
F39H12.4.1	IV	6171634	hil-2	6294361	-2	HIGH	Chromatin cofactor	30.5	IV	30.5, 31, 31.5, 32, 32.5
F39H12.4.1	IV	6171634	hil-2	6294361	-2	HIGH	Chromatin cofactor	30.5	V	30.5
F40F9.10.1	X	6526258	sprp-4	8850619	-2	HIGH	TF	18.5	X	18.5, 19, 19.5
F40F9.1a.1	V	11516185	nhr-143	8974472	-1	HIGH	TF	23.5	V	23, 23.5
F40G12.7.1	IV	16033284	C35D6.4	16351455	-2	HIGH	TF	42	IV	41.5, 42, 42.5
F41E6.11.1	V	14444778	nhr-84	15878383	-2	HIGH	TF	26.5	V	26, 26.5, 27
F41E6.11.1	V	14444778	nhr-84	15878383	-2	HIGH	TF	26.5	III	26, 26.5, 27, 27.5
F41E6.5a.1	III	7867229	mml-1	7371604	-2	HIGH	TF	27	V	26, 26.5, 27
F41E6.5a.1	III	7867229	mml-1	7371604	-2	HIGH	TF	27	III	26, 26.5, 27, 27.5
F41E6.5a.1	III	7867229	R05D3.3	8366304	-3	HIGH	TF	27	V	26, 26.5, 27
F41E6.5a.1	III	7867229	R05D3.3	8366304	-3	HIGH	TF	27	III	26, 26.5, 27, 27.5
F42A9.6c.1	IV	10931703	plp-1	7634038	-3	HIGH	TF	32.5	IV	30.5, 31, 31.5, 32, 32.5
F42A9.6c.1	IV	10931703	nhr-258	8046258	-1	HIGH	TF	32.5	IV	30.5, 31, 31.5, 32, 32.5
F42A9.6c.1	IV	10931703	zim-1	10547775	-2	HIGH	TF	32.5	IV	30.5, 31, 31.5, 32, 32.5
F42G4.3d.1	V	18960133	nhr-231	18793224	-2	HIGH	TF	39	V	39
F42G8.7b.1	V	20101488	ttx-1	20064158	-2	HIGH	TF	45	V	44.5, 45, 45.5
F44E2.10.1	V	20410593	ttx-1	20064158	-2	HIGH	TF	45.5	III	45.5
F44E2.10.1	V	20410593	ttx-1	20064158	-2	HIGH	TF	45.5	V	44.5, 45, 45.5
F44E5.4.1	IV	9092582	hil-2	6294361	-2	HIGH	Chromatin cofactor	31.5	IV	30.5, 31, 31.5, 32, 32.5
F45D11.13.1	IV	4544278	hil-2	6294361	-2	HIGH	Chromatin cofactor	28	IV	27.5, 28
F45D11.8	IV	12140133	zim-3	10559496	-2	HIGH	TF	33.5	IV	33.5
F45D11.8	IV	12140133	zim-3	10559496	-2	HIGH	TF	33.5	V	33.5
F45D11.8	IV	12140133	zim-3	10559793	-1	HIGH	TF	33.5	IV	33.5
F45D11.8	IV	12140133	zim-3	10559793	-1	HIGH	TF	33.5	V	33.5
F45H11.1b.2	IV	7791948	zim-2	10557342	-3	HIGH	TF	31	IV	30.5, 31, 31.5, 32, 32.5
F46E10.18.1	V	20001672	ttx-1	20064158	-2	HIGH	TF	44.5	V	44.5, 45, 45.5
F46F3.1a.1	IV	7858491	hil-2	6294361	-2	HIGH	Chromatin cofactor	31	IV	30.5, 31, 31.5, 32, 32.5
F46F5.16.1	V	20101488	ttx-1	20064158	-2	HIGH	TF	45	V	44.5, 45, 45.5
F46F5.2	V	20001672	ttx-1	20064158	-2	HIGH	TF	44.5	V	44.5, 45, 45.5
F46F5.5.1	V	10343103	zip-5	13269711	-2	HIGH	TF	23	V	23, 23.5
F46G10.4.1	V	20060851	ttx-1	20064158	-2	HIGH	TF	45	V	44.5, 45, 45.5
F47E1.4.1	V	10285793	jmjd-5	11128895	-1	HIGH	Chromatin cofactor	23	V	23, 23.5
F47F6.1a.1	IV	4430374	hil-2	6294361	-2	HIGH	Chromatin cofactor	28	IV	27.5, 28
F47H4.12	V	20001672	ttx-1	20064158	-2	HIGH	TF	44.5	V	44.5, 45, 45.5
F48E3.4.1	IV	8337815	hil-2	6294361	-2	HIGH	Chromatin cofactor	31	IV	30.5, 31, 31.5, 32, 32.5
F48E3.6.1	IV	9330791	hil-2	6294361	-2	HIGH	Chromatin cofactor	31.5	IV	30.5, 31, 31.5, 32, 32.5
F48E3.6.1	IV	9330791	nhr-264	9293192	-2	HIGH	TF	31.5	IV	30.5, 31, 31.5, 32, 32.5
F48E3.6.1	IV	9330791	zim-2	10557342	-3	HIGH	TF	31.5	IV	30.5, 31, 31.5, 32, 32.5
F48E3.6.1	IV	9330791	zim-3	10559496	-2	HIGH	TF	31.5	IV	30.5, 31, 31.5, 32, 32.5
F48E3.6.1	IV	9330791	zim-3	10559793	-1	HIGH	TF	31.5	IV	30.5, 31, 31.5, 32, 32.5
F49D11.6.1	III	7641044	mml-1	7371604	-2	HIGH	TF	27	V	26, 26.5, 27
F49D11.6.1	III	7641044	mml-1	7371604	-2	HIGH	TF	27	III	26, 26.5, 27, 27.5
F49D11.6.1	III	7641044	R05D3.3	8366304	-3	HIGH	TF	27	V	26, 26.5, 27
F49D11.6.1	III	7641044	R05D3.3	8366304	-3	HIGH	TF	27	III	26, 26.5, 27, 27.5
F49E12.12.1	IV	16027005	nhr-5	15406553	-2	HIGH	TF	42	IV	41.5, 42, 42.5
F52B5.7.1	IV	11215804	zim-2	10557342	-3	HIGH	TF	32.5	IV	30.5, 31, 31.5, 32, 32.5
F52B5.7.1	IV	11215804	zim-3	10559496	-2	HIGH	TF	32.5	IV	30.5, 31, 31.5, 32, 32.5
F52B5.7.1	IV	11215804	zim-3	10559793	-1	HIGH	TF	32.5	IV	30.5, 31, 31.5, 32, 32.5
F52D1.3c.1	IV	4430374	hil-2	6294361	-2	HIGH	Chromatin cofactor	28	IV	27.5, 28
F52D1.3c.1	X	14460051	ztf-14	14496428	-2	HIGH	TF	38	X	38
F52E10.1a.1	IV	10940663	zim-2	10557342	-3	HIGH	TF	32.5	IV	30.5, 31, 31.5, 32, 32.5
F52G3.5.1	X	12628772	odr-7	12460597	-1	HIGH	TF	28.5	X	28.5
F52G3.5.1	X	12628772	odr-7	12460627	-1	HIGH	TF	28.5	X	28.5
F52G3.5.1	X	12628772	nhr-214	12701618	-1	HIGH	TF	28.5	X	28.5
F52G3.5.1	X	12628772	gei-3	12811833	-3	HIGH	TF	28.5	X	28.5
F53B7.2a.1	X	6526258	sprp-4	8850619	-2	HIGH	TF	18.5	X	18.5, 19, 19.5
F54D11.3	IV	15717957	nhr-5	15406553	-2	HIGH	TF	42	IV	41.5, 42, 42.5
F54D7.2.2	V	20060851	ttx-1	20064158	-2	HIGH	TF	45	V	44.5, 45, 45.5
F54E2.3f.1	III	2646834	ceh-44	2539980	-1	HIGH	TF	16.5	III	16.5
F54F12.1.1	V	20410593	ttx-1	20064158	-2	HIGH	TF	45.5	III	45.5
F54F12.1.1	V	20410593	ttx-1	20064158	-2	HIGH	TF	45.5	V	44.5, 45, 45.5
F54F2.7.2	III	7459140	lin-36	8018436	-1	HIGH	TF	27	V	26, 26.5, 27
F54F2.7.2	III	7459140	lin-36	8018436	-1	HIGH	TF	27	III	26, 26.5, 27, 27.5
F54F7.5.2	V	20060851	ttx-1	20064158	-2	HIGH	TF	45	V	44.5, 45, 45.5
F54F7.6.2	V	20009197	ttx-1	20064158	-2	HIGH	TF	44.5	V	44.5, 45, 45.5
F56A12.1.1	IV	7858491	hil-2	6294361	-2	HIGH	Chromatin cofactor	31	IV	30.5, 31, 31.5, 32, 32.5
F56A12.1.1	IV	7858491	zim-2	10557342	-3	HIGH	TF	31	IV	30.5, 31, 31.5, 32, 32.5
F56C4.3a.1	IV	8635458	zim-1	10547775	-2	HIGH	TF	31.5	IV	30.5, 31, 31.5, 32, 32.5
F56D2.3a.1	IV	4430374	hil-2	6294361	-2	HIGH	Chromatin cofactor	28	IV	27.5, 28
F56D5.9.1	V	20014990	ttx-1	20064158	-2	HIGH	TF	44.5	V	44.5, 45, 45.5
F57A8.2a.2	V	11093249	jmjd-5	11128895	-1	HIGH	Chromatin cofactor	23.5	V	23, 23.5
F57A8.2b.2	V	11516185	jmjd-5	11128895	-1	HIGH	Chromatin cofactor	23.5	V	23, 23.5
F57F5.3.1	X	6895081	sprp-4	8850619	-2	HIGH	TF	19	II	19, 19.5
F57F5.3.1	X	6895081	sprp-4	8850619	-2	HIGH	TF	19	X	18.5, 19, 19.5
F57H12.3.1	IV	4430374	hil-2	6294361	-2	HIGH	Chromatin cofactor	28	IV	27.5, 28
F58A4.12	V	20410593	ttx-1	20064158	-2	HIGH	TF	45.5	III	45.5
F58A4.12	V	20410593	ttx-1	20064158	-2	HIGH	TF	45.5	V	44.5, 45, 45.5
F59B10.5.2	X	6906818	sprp-4	8850619	-2	HIGH	TF	19	II	19, 19.5
F59B10.5.2	X	6906818	sprp-4	8850619	-2	HIGH	TF	19	X	18.5, 19, 19.5
F59B1.2.2	V	20410593	ttx-1	20064158	-2	HIGH	TF	45.5	III	45.5
F59B1.2.2	V	20410593	ttx-1	20064158	-2	HIGH	TF	45.5	V	44.5, 45, 45.5
F59C12.3.2	X	12480833	nhr-214	12701618	-1	HIGH	TF	28.5	X	28.5
F59C12.3.2	X	12480833	gei-3	12811833	-3	HIGH	TF	28.5	X	28.5
H10D12.2	IV	4430374	hil-2	6294361	-2	HIGH	Chromatin cofactor	28	IV	27.5, 28
H13N06.2.1	IV	11064615	nhr-267	9285699	-2	HIGH	TF	32.5	IV	30.5, 31, 31.5, 32, 32.5
H43I07.3a.1	IV	15469577	nhr-5	15406553	-2	HIGH	TF	41.5	IV	41.5, 42, 42.5
K01D12.15.1	V	4294239	nhr-181	4095405	-2	HIGH	TF	14.5	V	14.5, 15
K02E2.6.1	I	4446767	lim-7	5725342	-1	HIGH	TF	21	V	21
K02E2.6.1	I	4446767	lim-7	5725342	-1	HIGH	TF	21	I	21
K04A8.4a.1	V	4375888	nhr-181	4095405	-2	HIGH	TF	14.5	V	14.5, 15
K04D7.2b.2	X	8522871	sprp-4	8850619	-2	HIGH	TF	21.5	X	21.5, 22
K04D7.2b.2	X	8522871	sprp-4	8850619	-2	HIGH	TF	21.5	II	21.5
K04H4.2a.2	IV	4430374	hil-2	6294361	-2	HIGH	Chromatin cofactor	28	IV	27.5, 28
K05F6.10.1	IV	6179627	hil-2	6294361	-2	HIGH	Chromatin cofactor	30.5	IV	30.5, 31, 31.5, 32, 32.5
K05F6.10.1	IV	6179627	hil-2	6294361	-2	HIGH	Chromatin cofactor	30.5	V	30.5
K05G3.3.1	V	20060851	ttx-1	20064158	-2	HIGH	TF	45	V	44.5, 45, 45.5
K06C4.12.1	II	209512	T10D4.6	3122581	-2	HIGH	TF	2.5	II	2.5
K06C4.4.1	II	209512	T10D4.6	3122581	-2	HIGH	TF	2.5	II	2.5
K07E3.8.2	V	20040363	ttx-1	20064158	-2	HIGH	TF	45	V	44.5, 45, 45.5
K07H8.2b.2	II	9189408	aptf-4	8592250	-1	HIGH	TF	19.5	II	19, 19.5
K07H8.2b.2	II	9189408	aptf-4	8592250	-1	HIGH	TF	19.5	X	18.5, 19, 19.5
K08D12.3b.1	IV	7971848	hil-2	6294361	-2	HIGH	Chromatin cofactor	31	IV	30.5, 31, 31.5, 32, 32.5
K08D12.8.1	IV	4430374	hil-2	6294361	-2	HIGH	Chromatin cofactor	28	IV	27.5, 28
K08D8.4a.1	IV	9026757	nhr-267	9285699	-2	HIGH	TF	31.5	IV	30.5, 31, 31.5, 32, 32.5
K08H10.1a.1	II	8795806	aptf-4	8591771	-2	HIGH	TF	19	II	19, 19.5
K08H10.1a.1	II	8795806	aptf-4	8591771	-2	HIGH	TF	19	X	18.5, 19, 19.5
K09B11.10.1	IV	4430374	hil-2	6294361	-2	HIGH	Chromatin cofactor	28	IV	27.5, 28
K09D9.11	V	20410593	ttx-1	20064158	-2	HIGH	TF	45.5	III	45.5
K09D9.11	V	20410593	ttx-1	20064158	-2	HIGH	TF	45.5	V	44.5, 45, 45.5
K09E9.3a.2	V	13938211	zip-5	13269711	-2	HIGH	TF	26	III	26, 26.5, 27, 27.5
K09E9.3a.2	V	13938211	zip-5	13269711	-2	HIGH	TF	26	V	26, 26.5, 27
K10C8.1.1	V	10407905	cky-1	12740287	-1	HIGH	TF	23	V	23, 23.5
K10C8.4.2	V	13722936	zip-5	13269711	-2	HIGH	TF	26	III	26, 26.5, 27, 27.5
K10C8.4.2	V	13722936	zip-5	13269711	-2	HIGH	TF	26	V	26, 26.5, 27
K11D2.4e.1	V	20410593	ttx-1	20064158	-2	HIGH	TF	45.5	III	45.5
K11D2.4e.1	V	20410593	ttx-1	20064158	-2	HIGH	TF	45.5	V	44.5, 45, 45.5
K11D2.5.2	IV	4665571	hil-2	6294361	-2	HIGH	Chromatin cofactor	28	IV	27.5, 28
K11H3.8a.1	III	8269370	mml-1	7372812	-3	HIGH	TF	27	V	26, 26.5, 27
K11H3.8a.1	III	8269370	mml-1	7372812	-3	HIGH	TF	27	III	26, 26.5, 27, 27.5
K11H3.8a.1	III	8269370	hmg-4	7380231	-2	HIGH	TF	27	V	26, 26.5, 27
K11H3.8a.1	III	8269370	hmg-4	7380231	-2	HIGH	TF	27	III	26, 26.5, 27, 27.5
K11H3.8a.1	III	8269370	R05D3.3	8365279	-1	HIGH	TF	27	V	26, 26.5, 27
K11H3.8a.1	III	8269370	R05D3.3	8365279	-1	HIGH	TF	27	III	26, 26.5, 27, 27.5
M01A10.2b.1	V	20001672	ttx-1	20064158	-2	HIGH	TF	44.5	V	44.5, 45, 45.5
M02G9.1a.1	IV	4430374	hil-2	6294361	-2	HIGH	Chromatin cofactor	28	IV	27.5, 28
M110.4a.1	V	20410593	ttx-1	20064158	-2	HIGH	TF	45.5	III	45.5
M110.4a.1	V	20410593	ttx-1	20064158	-2	HIGH	TF	45.5	V	44.5, 45, 45.5
M151.2.1	X	12379177	gei-3	12811833	-3	HIGH	TF	28.5	X	28.5
M195.2b.1	IV	4430374	hil-2	6294361	-2	HIGH	Chromatin cofactor	28	IV	27.5, 28
M195.2b.1	V	13722936	set-5	14699485	-4	HIGH	Chromatin cofactor	26	III	26, 26.5, 27, 27.5
M195.2b.1	V	13722936	set-5	14699485	-4	HIGH	Chromatin cofactor	26	V	26, 26.5, 27
M195.2b.1	V	13722936	nhr-84	15878383	-2	HIGH	TF	26	III	26, 26.5, 27, 27.5
M195.2b.1	V	13722936	nhr-84	15878383	-2	HIGH	TF	26	V	26, 26.5, 27
M28.4.1	V	20410593	ttx-1	20064158	-2	HIGH	TF	45.5	III	45.5
M28.4.1	V	20410593	ttx-1	20064158	-2	HIGH	TF	45.5	V	44.5, 45, 45.5
MTCE.4.1	IV	10931703	nhr-258	8046258	-1	HIGH	TF	32.5	IV	30.5, 31, 31.5, 32, 32.5
MTCE.4.1	IV	10931703	zim-1	10547775	-2	HIGH	TF	32.5	IV	30.5, 31, 31.5, 32, 32.5
R02C2.8	V	20410593	ttx-1	20064158	-2	HIGH	TF	45.5	III	45.5
R02C2.8	V	20410593	ttx-1	20064158	-2	HIGH	TF	45.5	V	44.5, 45, 45.5
R03D7.5a.1	V	20410593	ttx-1	20064158	-2	HIGH	TF	45.5	III	45.5
R03D7.5a.1	V	20410593	ttx-1	20064158	-2	HIGH	TF	45.5	V	44.5, 45, 45.5
R04B5.5.1	X	8927830	sprp-4	8850619	-2	HIGH	TF	21.5	X	21.5, 22
R04B5.5.1	X	8927830	sprp-4	8850619	-2	HIGH	TF	21.5	II	21.5
R05A10.2.1	V	20060851	ttx-1	20064158	-2	HIGH	TF	45	V	44.5, 45, 45.5
R05G9R.1.1	III	11891019	ceh-92	11584935	-1	HIGH	TF	41	III	41
R07C3.5.1	IV	10515538	hil-2	6294361	-2	HIGH	Chromatin cofactor	32	I	32
R07C3.5.1	IV	10515538	hil-2	6294361	-2	HIGH	Chromatin cofactor	32	IV	30.5, 31, 31.5, 32, 32.5
R07E5.10.1	III	5709836	set-2	4929670	-2	HIGH	Chromatin cofactor	26	III	26, 26.5, 27, 27.5
R07E5.10.1	III	5709836	set-2	4929670	-2	HIGH	Chromatin cofactor	26	V	26, 26.5, 27
R07E5.10.1	III	5709836	lin-36	8018436	-1	HIGH	TF	26	III	26, 26.5, 27, 27.5
R07E5.10.1	III	5709836	lin-36	8018436	-1	HIGH	TF	26	V	26, 26.5, 27
R07G3.3d.1	IV	15199783	nhr-5	15406553	-2	HIGH	TF	40.5	IV	40.5
R07G3.3e.1	IV	15199783	nhr-5	15406553	-2	HIGH	TF	40.5	IV	40.5
R08B4.1.1	IV	4430374	hil-2	6294361	-2	HIGH	Chromatin cofactor	28	IV	27.5, 28
R08C7.13.1	IV	7858491	hil-2	6294361	-2	HIGH	Chromatin cofactor	31	IV	30.5, 31, 31.5, 32, 32.5
R08C7.13.1	IV	7858491	nhr-264	9293192	-2	HIGH	TF	31	IV	30.5, 31, 31.5, 32, 32.5
R08C7.13.1	IV	7858491	zim-2	10557342	-3	HIGH	TF	31	IV	30.5, 31, 31.5, 32, 32.5
R08C7.13.1	IV	7858491	zim-3	10559496	-2	HIGH	TF	31	IV	30.5, 31, 31.5, 32, 32.5
R08C7.13.1	IV	7858491	zim-3	10559793	-1	HIGH	TF	31	IV	30.5, 31, 31.5, 32, 32.5
R08C7.9.1	IV	7858491	hil-2	6294361	-2	HIGH	Chromatin cofactor	31	IV	30.5, 31, 31.5, 32, 32.5
R08C7.9.1	IV	7858491	zim-2	10557342	-3	HIGH	TF	31	IV	30.5, 31, 31.5, 32, 32.5
R08D7.3.2	III	7867229	nfx-1	6375500	-2	HIGH	TF	27	V	26, 26.5, 27
R08D7.3.2	III	7867229	nfx-1	6375500	-2	HIGH	TF	27	III	26, 26.5, 27, 27.5
R08D7.3.2	III	7867229	mml-1	7371604	-2	HIGH	TF	27	V	26, 26.5, 27
R08D7.3.2	III	7867229	mml-1	7371604	-2	HIGH	TF	27	III	26, 26.5, 27, 27.5
R08D7.3.2	III	7867229	R05D3.3	8366304	-3	HIGH	TF	27	V	26, 26.5, 27
R08D7.3.2	III	7867229	R05D3.3	8366304	-3	HIGH	TF	27	III	26, 26.5, 27, 27.5
R09G11.1.1	V	20410593	ttx-1	20064158	-2	HIGH	TF	45.5	III	45.5
R09G11.1.1	V	20410593	ttx-1	20064158	-2	HIGH	TF	45.5	V	44.5, 45, 45.5
R10D12.14a.1	III	7956261	mml-1	7371604	-2	HIGH	TF	27	V	26, 26.5, 27
R10D12.14a.1	III	7956261	mml-1	7371604	-2	HIGH	TF	27	III	26, 26.5, 27, 27.5
R10D12.14a.1	III	7956261	R05D3.3	8366304	-3	HIGH	TF	27	V	26, 26.5, 27
R10D12.14a.1	III	7956261	R05D3.3	8366304	-3	HIGH	TF	27	III	26, 26.5, 27, 27.5
R10E4.2g.2	V	10343103	zip-5	13269711	-2	HIGH	TF	23	V	23, 23.5
R10E8.6.1	I	13299914	nhr-276	14043432	-3	HIGH	TF	39.5	IV	39.5
R10E8.6.1	I	13299914	nhr-276	14043432	-3	HIGH	TF	39.5	I	39.5
R119.6.2	IV	15705753	nhr-5	15406553	-2	HIGH	TF	42	IV	41.5, 42, 42.5
R13A5.5.2	IV	8177599	hil-2	6294361	-2	HIGH	Chromatin cofactor	31	IV	30.5, 31, 31.5, 32, 32.5
R13H4.2a.2	V	4415549	nhr-181	4095405	-2	HIGH	TF	14.5	V	14.5, 15
R13H9.4.1	IV	8337815	hil-2	6294361	-2	HIGH	Chromatin cofactor	31	IV	30.5, 31, 31.5, 32, 32.5
R144.4b.1	IV	15705753	nhr-5	15406553	-2	HIGH	TF	42	IV	41.5, 42, 42.5
T02D1.6a.1	IV	15068097	nhr-5	15406553	-2	HIGH	TF	40.5	IV	40.5
T02G5.14.1	IV	4665571	hil-2	6294361	-2	HIGH	Chromatin cofactor	28	IV	27.5, 28
T02G5.3.1	X	12469798	odr-7	12460597	-1	HIGH	TF	28.5	X	28.5
T02G5.3.1	X	12469798	odr-7	12460627	-1	HIGH	TF	28.5	X	28.5
T02G5.3.1	X	12469798	nhr-214	12701618	-1	HIGH	TF	28.5	X	28.5
T04A11.1.1	IV	10931703	nhr-258	8046258	-1	HIGH	TF	32.5	IV	30.5, 31, 31.5, 32, 32.5
T04A11.1.1	IV	10931703	zim-1	10547775	-2	HIGH	TF	32.5	IV	30.5, 31, 31.5, 32, 32.5
